DATA_SOURCE,RECORD_ID,RECORD_TYPE,PRIMARY_NAME_ORG,SECONDARY_NAME_ORG,EMPLOYER_NAME,PRIMARY_NAME_FULL,NATIVE_NAME_FULL,PRIMARY_NAME_LAST,PRIMARY_NAME_FIRST,DATE_OF_BIRTH,ADDR_TYPE,ADDR_FULL,ADDR_LINE1,ADDR_CITY,ADDR_STATE,ADDR_POSTAL_CODE,ADDR_COUNTRY,PHONE_TYPE,PHONE_NUMBER,EMAIL_ADDRESS,REL_ANCHOR_KEY,REL_POINTER_KEY,REL_POINTER_ROLE,DATE,STATUS,CATEGORY
REFERENCE,2012,ORGANIZATION,Hajah Maimunah,,,,,,,,REGISTERED,,4 Hillview Rise,SINGAPORE,,667979,Singapore,,,,2011,,,2010,Active,Proprietorship
REFERENCE,2013,PERSON,,,,Wang Jie,,,,1993-09-14,,,,,,,,,,,,2011,Owns 60%,,Current,Owner
REFERENCE,2014,PERSON,,,,Wang Wei,,,,1997-09-14,,,,,,,,,,,,2011,Owns 40%,,Current,Owner
REFERENCE,2041,ORGANIZATION,Müllenkranz ,Autowerkz,,,,,,,PRIMARY,,Hardenbergstraße 87,Rheinland-Pfalz,,66879,Germany,,,,2041,,,2009,Inactive,Partnership
REFERENCE,2051,PERSON,,,Müllenkranz,Faisal Siddiqui,,,,,HOME,,Jia Musa Shahdara Sheikhupura Road,Lahore,,,Pakistan,,+92 42-7925774,,,2041,President,,Current,President
REFERENCE,2061,PERSON,,,Müllenkranz,,"ВАСІЛЬЕЎ, Аляксандр Паўлавіч",,,,,"Tolmacheva Ul., bld. 8, appt. 71 Smolensk",,,,,RUS,PRIMARY,+7(4812)85-62-34,,,2041,Owns 100%,,Current,Owner
REFERENCE,2071,ORGANIZATION,"Universal Exports, USA",Universal Exports,,,,,,,BUSINESS,"Hughes Plaza, 100 Howard Hughes Way, Las Vegas, NV 89111",,,,,,,800-111-1234,,2071,2074,Global Parent,1990,Active,Corporation
REFERENCE,2074,ORGANIZATION,Universal Exports Worldwide,Universal Exports,,,,,,,REGISTERED,,405 Lexington Avenue,Manhattan,NY,10174,,,,,2074,,,1990,Active,Corporation
REFERENCE,2081,PERSON,,,Universal Exports Worldwide,Howard Hughess,,,,,,,,,,,,,,,,2074,Owns 50%,,Current,Owner
REFERENCE,2091,PERSON,,,Universal Exports Worldwide,Margaret Charney,,,,,,,,,,,,,,,,2074,Owns 50%,,Current,Owner
REFERENCE,2101,PERSON,,,"Universal Exports, USA",Keeley Jones,,,,,,,,,,,,,818-892-2818,kjones@universal.com,,2071,Principal,,Current,Director
REFERENCE,2102,PERSON,,,,"Jones, Kaylee",,,,,,,,,,,,,18188922818,kjones@universal.com,,,,,Active,Contact
REFERENCE,2111,PERSON,,,"Universal Exports, USA",Susan Meyer,,,,,PRIMARY,,"Fieldstrasse 10, FL-2198 Triesen",,,,Lichtenstein,,,,,2071,Principal,,Current,Director
REFERENCE,2112,PERSON,,,,Susan Meyer Thomas,,,,,PRIMARY,"Fieldstrasse 10, FL-2198 Triesen, Lichtenstein",,,,,,,,,,,,,Active,Contact
REFERENCE,2121,PERSON,,,"Universal Exports, USA",Kristen Salinger,,,,,PRIMARY,,123 King street,New York,NY,10012,,MOBILE,320-392-2137,,,2071,Principal,,Current,Director
REFERENCE,2122,PERSON,,,,"Salenger, Kristin",,,,,PRIMARY,,8321 Duke Street,Los Angeles,CA,90015,,MOBILE,(320) 392-2137,,,,,,Active,Contact
REFERENCE,2131,PERSON,,,"Universal Exports, USA",Rosemay A Thomas,,,,,PRIMARY,"18 Danver Place, Loughborough, Leicestershire, LE11 1UU, United Kingdom",,,,,,,,,,2071,Principal,,Current,Director
REFERENCE,2132,PERSON,,,,,,Thomas,Rosemary A,,PRIMARY,"18 Danver Place, Loughborough, Leicestershire, United Kingdom, LE11 1UU",,,,,,,,,,,,,Active,Contact
REFERENCE,2141,ORGANIZATION,Universal Exports Singapore,Universal Exports,,,,,,,REGISTERED,"Chinatown Point, 133 New Bridge Road, 059413 singapore",,,,,Singapore,,,,,2074,Global Parent,1994,Active,Corporation
REFERENCE,2151,ORGANIZATION,Universal Exports India,Universal Exports,,,,,,,REGISTERED,"Mullanpara Road, Vythiri, 673576, India",,,,,,,,,,2074,Global Parent,1998,Active,Corporation
REFERENCE,2161,PERSON,,,"Universal Exports, USA",,,Alexopoulos,Anastassia,,HOME,,"6781 Metaxa Forest, Suite 296",Athens,GA,30009,,,,Nastassia<patak@universal.com>,,2071,Principal,,Current,Director
REFERENCE,2162,PERSON,,,,"Alexopoulos, Nastassia",,,,,PRIMARY,,6781 Metaxa Forest,Athens,GA,30009,,,,patak@universal.com,,,,,Active,Contact
